u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
183127184,183444311,0,False,residential,Main Street,77.995,,,,,,,,,,,47698401,
183127184,183422994,0,False,residential,Main Street,26.18,,,,,,,,,,,47698401,
183127184,183127191,0,False,unclassified,,67.848,,,,,,,,,,,17676419,
183127191,183422994,0,False,unclassified,Cemetery Street,45.343,,,,,,,,,,,17702149,
183127191,183127184,0,False,unclassified,,67.848,,,,,,,,,,,17676419,
183127191,183423014,0,False,unclassified,Cemetery Street,62.569,,,,,,,,,,,17702149,
183182235,183421260,0,False,residential,East Holland Avenue,88.696,,,,,,,,,,,17702009,
183198922,183461956,0,False,secondary,Main Street,49.582,,,,,,,,,,,17705170,MD 354
183198922,183359698,0,True,trunk_link,,121.731,,,,,,,,,,,17696355,
183198922,183461948,0,False,secondary,Main Street,53.168,,,,,,,,,,,17705170,MD 354
183219135,183523371,0,False,residential,Mitchell Street,54.29,,,,,,,,,,,17709984,
183228189,183421260,0,False,residential,West Holland Avenue,118.473,,,,,,,,,,,17708285,
183233425,183469900,0,False,secondary,Old Ocean City Road,51.103,,,,,,,,,,,17706675,MD 346
183233425,183416204,0,False,residential,Canal Street,254.667,,,,,,,,,,,17701548,
183233425,183479616,0,False,secondary,Old Ocean City Road,129.85,,,,,,,,,,,17706675,MD 346
183233425,183495011,0,False,residential,Still Meadows Lane,78.698,,,,,,,,,,,17707962,
183280611,183456184,0,False,residential,Pauls Place,113.297,,,,,,,,,,,17709888,
183295112,183461959,0,False,residential,Pine Street,285.966,,,,,,,,,,,17708539,
183351610,183351645,0,True,trunk_link,,233.958,,,,,,,,,,,17695618,
183351610,183461958,0,True,trunk,Ocean Gateway,225.778,2,,,,,,,,,,92295009,US 50
183351645,183461958,0,False,secondary,Main Street,58.293,,,,,,,,,,,17705170,MD 354
183351645,183461959,0,False,secondary,Main Street,26.195,,,,,,,,,,,17705170,MD 354
183359698,183442986,0,True,trunk,Ocean Gateway,877.957,2,,,,,,,,,,116069124,US 50
183382915,183442989,0,False,residential,Bent Pine Road,371.546,,,,,,,,,,,17703564,
183382915,183479616,0,False,secondary,Old Ocean City Road,419.913,,,,,,,,,,,92295023,MD 346
183382918,183525420,0,False,residential,Market Street,322.758,,,,,,,,,,,17710695,
183408822,183408825,0,False,residential,West Adkins Avenue,131.592,,,,,,,,,,,17700935,
183408822,183421260,0,False,residential,Park Drive,96.687,,,,,,,,,,,17710155,
183408822,183478224,0,False,residential,East Adkins Avenue,96.678,,,,,,,,,,,17706519,
183408825,183408822,0,False,residential,West Adkins Avenue,131.592,,,,,,,,,,,17700935,
183409564,183409571,0,False,residential,Bethel Road,225.192,,,,,,,,,,,17701007,
183409564,183426933,0,False,residential,Richland Road,293.776,,,,,,,,,,,17704577,
183409564,183456184,0,False,residential,Richland Road,131.538,,,,,,,,,,,17704577,
183409571,183409574,0,False,residential,Bethel Road,124.834,,,,,,,,,,,17701007,
183409571,183409564,0,False,residential,Bethel Road,225.192,,,,,,,,,,,17701007,
183409571,183508027,0,False,residential,Timber Drive,160.693,,,,,,,,,,,17708949,
183409574,183409571,0,False,residential,Bethel Road,124.834,,,,,,,,,,,17701007,
183409574,183409583,0,False,residential,Bethel Road,225.592,,,,,,,,,,,17701007,
183409574,183510568,0,False,residential,Lumberyard Lane,181.827,,,,,,,,,,,17709108,
183409583,183409574,0,False,residential,Bethel Road,225.592,,,,,,,,,,,17701007,
