u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
65334541,65348613,0,False,residential,Riverside Park,123.509,2,15.2,,,,,,,,,8923269,
65334541,65340405,0,False,secondary,Commercial Street,147.148,4,12.2,,,,,,,,,28595406,
65334541,65358772,0,False,secondary,Commercial Street,304.866,4,12.2,,,,,,,,,28595406,
65336029,65356283,0,False,secondary,Main Street,78.361,4,27.4,,,,,,,,,371671112,
65336029,65367460,0,True,secondary,Main Street,43.68,4,27.4,,,,,,,,,371671113,
65336186,65361794,0,False,tertiary,Canal Street,213.307,2,16.8,,,,,,,,,8922247,
65336186,65362077,0,True,secondary,Centre Street,64.462,2,30.5,,,,,,,,,8922847,MA 60
65336443,65363250,0,False,secondary,Main Street,54.158,4,27.4,,,,,,,,,8922897,
65336443,65359490,0,False,secondary,Main Street,66.228,4,27.4,,,,,,,,,8922897,
65336443,938947949,0,True,tertiary,"['Irving Street', 'Irving Court']",123.947,2,"['10.7', '15.2']",,,,,,,,,"[8923180, 8923199]",
65337315,65353918,0,True,secondary,Exchange Street,138.328,2,18.3,,,,,,,,,8921963,
65337315,65361904,0,False,secondary,Commercial Street,93.913,4,16.8,,,,,,,,,"[85339106, 85339131, 8923244]",
65337315,65365298,0,False,secondary,Commercial Street,88.162,4,16.8,,,,,,,,,8923244,
65337627,957261553,0,False,tertiary,Pleasant Street,25.331,2,18.3,,,,,,,,,82223075,
65338517,3185278424,0,False,secondary,Main Street,36.034,4,27.4,,,,,,,,,8922897,
65338517,65360766,0,False,secondary,Ferry Street,211.501,2,17.7,,,,,,,,,8923353,
65338603,65365303,0,True,tertiary,Washington Street,113.024,2,12.2,,,,,,,,,8922758,
65338603,65367611,0,True,tertiary,Pleasant Street,107.84,2,18.3,,,,,,,,,8923184,
65338603,65346277,0,True,secondary,Washington Street,71.11,2,13.4,,,,,,,,,8923495,
65339192,2523794808,0,True,tertiary,Garnet Road,144.895,2,12.2,,,,,,,,,8923381,
65340405,65361261,0,False,secondary,Commercial Street,180.06,4,12.2,,,,,,,,,28595406,
65340405,65334541,0,False,secondary,Commercial Street,147.148,4,12.2,,,,,,,,,28595406,
