u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
102843771,102843776,0,False,tertiary,Tippin Drive,93.424,,,,25 mph,,,,,,,11557457,
102843771,103050523,0,False,tertiary,Tippin Drive,437.883,,,,25 mph,,,,,,,11557457,
102843776,102843771,0,False,tertiary,Tippin Drive,93.424,,,,25 mph,,,,,,,11557457,
102843776,102877165,0,True,motorway_link,,47.049,,,,,,,,,,,310578567,
102843776,102843778,0,False,tertiary,Tippin Drive,34.673,,,,,,,,,,,310578570,
102843778,102843776,0,False,tertiary,Tippin Drive,34.673,,,,,,,,,,,310578570,
102843778,102877162,0,False,tertiary,Tippin Drive,36.251,,,,,,,,,,,310578571,
102843778,102877165,0,True,motorway_link,,58.707,,,,,,,,,,,52960204,
102848882,103004735,0,False,residential,Woodside Avenue,69.714,,,,,,,,,,,11558906,
102848882,102982053,0,False,residential,North Carroll Street,35.592,,,,,,,,,,,284934389,
102848882,103080077,0,False,residential,North Carroll Street,568.986,,,,,,,,,,,284934389,
102852694,102882947,0,True,motorway_link,,58.927,1,,,,,,,,,,11539588,
102854936,102855083,0,False,residential,,22.163,,,,,,,,,,,11537059,
102855083,102854936,0,False,residential,,22.163,,,,,,,,,,,11537059,
102855083,102897704,0,True,motorway,Catoctin Mountain Highway,827.934,2,,,55 mph,,,yes,,,,"[52960217, 52960218, 52960191]",US 15
102870459,103014295,0,False,residential,Westview Drive,23.475,,,,,,,,,,,11553169,
102870459,103014295,1,False,residential,Westview Court,123.5,,,,,,,,,,,11538474,
102870459,103004900,0,False,residential,Westview Drive,133.195,,,,,,,,,,,11553169,
102871061,2887088755,0,False,residential,Mountain Ore Court,47.412,,,,,,,,,,,11555784,
102871061,103014275,0,False,residential,Westview Drive,137.733,,,,,,,,,,,11553163,
102871061,103014266,0,False,residential,Westview Drive,184.82,,,,,,,,,,,11553163,
102872866,102872868,0,False,residential,Rouzer Lane,45.943,,,,,,,,,,,11538688,
102872866,103078879,0,False,residential,Lin Road,75.695,,,,,,,,,,,11560650,
102872868,102872866,0,False,residential,Rouzer Lane,45.943,,,,,,,,,,,11538688,
102872868,103020235,0,False,residential,Catoctin Avenue,212.414,,,,,,,,,,,11556722,
102872868,103020207,0,False,residential,Rouzer Lane,86.845,,,,,,,,,,,11557841,
102875182,102989482,0,False,primary,North Church Street,67.006,2,,,,,,,,,,520285129,MD 550
102875182,102886084,0,True,motorway_link,,111.87,,,,,,,,,,,520285130,
102875182,102996319,0,False,primary,North Church Street,289.829,2,,,,,,,,,,"[52960220, 520285132]",MD 550
102875188,102875182,0,True,motorway_link,,77.254,,,,,,,,,,,11538929,
102875188,102989482,0,True,motorway_link,,59.833,,,,,,,,,,,116290943,
102875193,102875188,0,True,motorway_link,,279.784,,,,,,,,,,,445126729,
102877162,102843778,0,False,tertiary,Tippin Drive,36.251,,,,,,,,,,,310578571,
102877162,4145190417,0,False,unclassified,Thurmont Boulevard,165.478,,,,,,,,,,,55946636,
102877162,103016264,0,False,secondary,"['Frederick Road', 'Catoctin Furnace Road']",606.258,,,,,,,,,,,"[11553360, 114731293]",
102877165,102877179,0,True,motorway_link,,529.025,,,,,,,,,,,52960204,
102877179,671054332,0,True,motorway,Catoctin Mountain Highway,759.477,2,,,55 mph,,,yes,,,,"[52960202, 52960219, 52960212]",US 15
102877874,102843771,0,True,motorway_link,,309.319,,,,,,,,,,,445126530,
102877921,2880886663,0,False,residential,Golf Course Lane,263.841,,,,,,,,,,,11543406,
102882800,102882806,0,True,motorway_link,,314.082,1,,,,,,,,,,11539572,
102882806,102855083,0,True,motorway,Catoctin Mountain Highway,306.267,2,,,55 mph,,,,,,,52960191,US 15
102882947,102989482,0,False,primary,North Church Street,146.824,2,,,,,,,,,,310578566,MD 550
102882947,102882800,0,True,motorway_link,,34.04,1,,,,,,,,,,310578568,
102886219,2887954377,0,False,residential,Rouzer Court,49.077,,,,,,,,,,,11553640,
102886219,102900905,0,False,residential,Vista Avenue,18.182,,,,,,,,,,,11556499,
102886219,102886242,0,False,residential,Vista Avenue,70.295,,,,,,,,,,,11556499,
102886242,102886219,0,False,residential,Vista Avenue,70.295,,,,,,,,,,,11556499,
102886242,103041272,0,False,residential,Vista Avenue,59.105,,,,,,,,,,,11556499,
102886242,103020190,0,False,residential,Rouzer Lane,172.296,,,,,,,,,,,11557841,
102897704,102897724,0,True,motorway_link,,394.834,,,,,,,yes,,,,"[11541000, 52960211, 52960205]",
102897704,102900475,0,True,motorway,Catoctin Mountain Highway,318.939,2,,,55 mph,,,,,,,52960217,US 15
102897724,671054291,0,True,motorway_link,,24.912,,,,,,,,,,,52960206,
102897724,102897732,0,True,motorway_link,,46.989,,,,,,,,,,,52960205,
102897732,671054291,0,False,primary,West Main Street,37.706,2,,,25 mph,,,,,,,310578573,MD 77
102897732,102998225,0,False,primary,West Main Street,173.332,2,,,25 mph,,,,,,,310578577,MD 77
102900475,102877874,0,True,motorway,Catoctin Mountain Highway,515.605,2,,,55 mph,,,,,,,52960217,US 15
102900497,671054291,0,False,primary,West Main Street,6.003,2,,,25 mph,,,,,,,45038773,MD 77
102900497,102905808,0,False,secondary,West Main Street,25.163,2,,,,,,,,,,52960210,MD 77
102900497,4145190399,0,True,motorway_link,,29.098,,,,,,,,,,,52960207,
102900905,102886219,0,False,residential,Vista Avenue,18.182,,,,,,,,,,,11556499,
102901011,103041272,0,False,residential,Vista Avenue,22.207,,,,,,,,,,,11556499,
102901011,103041272,1,False,residential,Tannery Court,100.944,,,,,,,,,,,11559505,
102901011,2887954397,0,False,residential,Vista Avenue,279.389,,,,,,,,,,,11556499,
