u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
62632164,62632172,0,False,residential,Saranac Lake Drive,140.327,,,,"['30 mph', '15 mph']",,,yes,,,,"[95135102, 95135110, 8735222]",
62632164,62705485,0,False,residential,Canton Drive,233.19,,,,25 mph,,,,,,,8743519,
62632164,62782956,0,False,residential,Ogdensburg Drive,334.866,,,,25 mph,,,,,,,8753690,
62632172,309300191,0,False,residential,Tupper Lake Drive,37.328,,,,15 mph,,,,,,,8745495,
62632172,62731336,0,False,residential,Tupper Lake Drive,347.074,,,,15 mph,,,,,,,8745495,
62632172,62632164,0,False,residential,Saranac Lake Drive,140.327,,,,"['30 mph', '15 mph']",,,yes,,,,"[8735222, 95135102, 95135110]",
62632191,62632196,0,False,residential,East Drive,188.889,,,,30 mph,,,,,,,8735225,
62632191,62688043,0,False,residential,South Street,114.857,,,,30 mph,,,,,,,8742309,
62632191,62705428,0,False,residential,Bay Street,179.304,,,,30 mph,,,,,,,8743514,
62632196,62862685,0,False,residential,College Park Road,74.485,,,,30 mph,,,,,,,8753550,
62632196,62632191,0,False,residential,East Drive,188.889,,,,30 mph,,,,,,,8735225,
62632196,62792575,0,False,residential,College Park Road,114.132,,,,30 mph,,,,,,,8753550,
62632916,62632926,0,False,residential,,232.905,,,,30 mph,,,,,,,28160155,
62632926,62734905,0,False,trunk,Maple Street,156.219,4,,,30 mph,,,,,,,111478786,US 11
62632926,62632916,0,False,residential,,232.905,,,,30 mph,,,,,,,28160155,
62640467,62640495,0,False,residential,,420.102,,,,15 mph,,,,,,,8736068,
62640467,677245404,0,False,residential,,178.83,,,,15 mph,,,,,,,"[8736068, 39422716]",
62640467,62669267,0,False,residential,,248.926,,,,15 mph,,,,,,,8742058,
62640495,62640530,0,False,residential,,100.912,,,,15 mph,,,,,,,110795277,
62640495,62640467,0,False,residential,,420.102,,,,15 mph,,,,,,,8736068,
62640495,62640509,0,False,residential,,283.748,,,,15 mph,,,,,,,"[110795277, 110795279]",
62640509,62657326,0,False,residential,,491.885,,,,15 mph,,,,,,,8738784,
62640509,62657227,0,False,residential,,384.125,,,,15 mph,,,,,,,8738784,
62640509,62640495,0,False,residential,,283.748,,,,15 mph,,,,,,,"[110795277, 110795279]",
62640530,62681451,0,False,secondary,Clarkson Avenue,115.817,,,,30 mph,,,,,,,8748122,
62640530,62681422,0,False,secondary,Clarkson Avenue,98.217,,,,30 mph,,,,,,,8748122,
62640530,62640495,0,False,residential,,100.912,,,,15 mph,,,,,,,110795277,
62650021,62718682,0,False,trunk,Sandstone Drive,853.444,4,,,30 mph,,,yes,,,,"[8744696, 38235694, 38235695]",US 11
62650021,1437016152,0,False,trunk,Sandstone Drive,36.768,4,,,30 mph,,,,,,,480213143,US 11
62655398,62707917,0,False,residential,Massena Drive,147.08,,,,15 mph,,,,,,,8743695,
62655398,62707903,0,False,residential,Massena Drive,302.981,,,,15 mph,,,,,,,8743695,
62655398,62782956,0,False,residential,Malone Drive,173.859,,,,15 mph,,,,,,,8748456,
62655410,62705430,0,False,residential,Bay Street,31.001,,,,30 mph,,,,,,,8743514,
62655410,62705428,0,False,residential,Bay Street,69.04,,,,30 mph,,,,,,,8743514,
62655410,62655422,0,False,residential,Lake Placid Drive,171.347,,,,15 mph,,,,,,,8738582,
62655422,62655424,0,False,residential,Lake Placid Drive,63.74,,,,15 mph,,,,,,,8738582,
62655422,62655410,0,False,residential,Lake Placid Drive,171.347,,,,15 mph,,,,,,,8738582,
62655422,62657208,0,False,residential,Potsdam Drive,238.13,,,,15 mph,,,,,,,8738778,
62655424,361256818,0,False,residential,Lake Placid Drive,433.042,,,,15 mph,,,,,,,8738582,
62655424,62655422,0,False,residential,Lake Placid Drive,63.74,,,,15 mph,,,,,,,8738582,
62655424,62662780,0,False,residential,,27.32,,,,30 mph,,,,,,,8739341,
62657208,62655422,0,False,residential,Potsdam Drive,238.13,,,,15 mph,,,,,,,8738778,
62657208,62705437,0,False,secondary,Pierrepont Avenue,345.788,,,,30 mph,,,,,,,8754367,NY 56
62657208,62782950,0,False,secondary,Pierrepont Avenue,17.326,,,,30 mph,,,,,,,8754367,NY 56
62657227,62734908,0,False,trunk,Maple Street,372.603,4,,,30 mph,,,,,,,111478786,US 11
62657227,62640509,0,False,residential,,384.125,,,,15 mph,,,,,,,8738784,
62657227,62718614,0,False,trunk,"['Maple Street', 'Sandstone Drive']",205.924,4,,,30 mph,,,,,,,"[111478786, 480213151]",US 11
62657326,62657353,0,False,secondary,Clarkson Avenue,81.477,,,,30 mph,,,,,,,8748122,
62657326,62640509,0,False,residential,,491.885,,,,15 mph,,,,,,,8738784,
62657326,62686071,0,False,secondary,Clarkson Avenue,175.828,,,,30 mph,,,,,,,8748122,
62657338,62657349,0,False,residential,Riverside Drive,120.269,,,,30 mph,,,,,,,8757389,
62657349,62657338,0,False,residential,Riverside Drive,120.269,,,,30 mph,,,,,,,8757389,
62657349,62657353,0,False,residential,Riverside Drive,150.625,,,,,,,,,,,8757391,
62657349,62777384,0,False,residential,Riverside Drive,348.481,,,,,,,,,,,8757391,
62657353,62657326,0,False,secondary,Clarkson Avenue,81.477,,,,30 mph,,,,,,,8748122,
62657353,62681451,0,False,secondary,Clarkson Avenue,58.189,,,,30 mph,,,,,,,8748122,
62657353,62657349,0,False,residential,Riverside Drive,150.625,,,,,,,,,,,8757391,
62661108,62661110,0,False,residential,Fairlawn Drive,35.698,,,,30 mph,,,,,,,8754554,
62661108,62718268,0,False,residential,Ridgewood Lane,99.563,,,,30 mph,,,,,,,8758162,
62661108,62876713,0,False,residential,Fairlawn Drive,195.408,,,,30 mph,,,,,,,8754554,
62661110,62661108,0,False,residential,Fairlawn Drive,35.698,,,,30 mph,,,,,,,8754554,
62662780,62655424,0,False,residential,,27.32,,,,30 mph,,,,,,,8739341,
62669263,62669267,0,False,residential,,101.106,,,,15 mph,,,,,,,8740068,
62669267,62669274,0,False,residential,,105.703,,,,15 mph,,,,,,,8740068,
62669267,62669263,0,False,residential,,101.106,,,,15 mph,,,,,,,8740068,
62669267,62640467,0,False,residential,,248.926,,,,15 mph,,,,,,,8742058,
62669274,62777384,0,False,secondary,Clarkson Avenue,56.131,,,,30 mph,,,,,,,8748122,
62669274,62669267,0,False,residential,,105.703,,,,15 mph,,,,,,,8740068,
62669274,62777383,0,False,secondary,Clarkson Avenue,212.223,,,,30 mph,,,,,,,8748122,
62672308,62779723,0,False,residential,Clough Street,296.818,,,,30 mph,,,,,,,8757744,
62672308,62914767,0,False,primary,Market Street,159.153,,,,30 mph,,,,,,,45840647,NY 56
62672308,62892682,0,False,primary,Market Street,122.986,,,,30 mph,,,,,,,45840647,NY 56
62677422,62677422,0,False,residential,Debra Dr,92.639,,,,30 mph,,,,,,,8741069,
62677422,62677422,1,False,residential,Debra Dr,92.639,,,,30 mph,,,,,,,8741069,
62677422,62772096,0,False,residential,Debra Drive,236.129,,,,30 mph,,,,,,,8747792,
62677991,62746317,0,False,secondary,Main Street,118.416,,,,30 mph,,,,,,,42000816,NY 56
62677991,62677993,0,False,secondary,Main Street,34.964,,,,30 mph,,,,,,,42000816,NY 56
62677993,62792598,0,True,secondary,Maple Street,11.396,,,,30 mph,,,,,,,31711885,
62677993,62721086,0,False,secondary,Market Street,122.839,,,,30 mph,,,,,,,28275518,NY 56
62677993,62677991,0,False,secondary,Main Street,34.964,,,,30 mph,,,,,,,42000816,NY 56
62681422,62640530,0,False,secondary,Clarkson Avenue,98.217,,,,30 mph,,,,,,,8748122,
62681422,62777384,0,False,secondary,Clarkson Avenue,63.001,,,,30 mph,,,,,,,8748122,
62681422,62681451,0,False,residential,,277.129,,,,30 mph,,,,,,,8741578,
62681451,62657353,0,False,secondary,Clarkson Avenue,58.189,,,,30 mph,,,,,,,8748122,
62681451,62640530,0,False,secondary,Clarkson Avenue,115.817,,,,30 mph,,,,,,,8748122,
62681451,62681422,0,False,residential,,277.129,,,,30 mph,,,,,,,8741578,
62686071,62686085,0,True,secondary_link,,81.124,,,,30 mph,,,,,,,8742100,
62686071,62657326,0,False,secondary,Clarkson Avenue,175.828,,,,30 mph,,,,,,,8748122,
62686071,1437016161,0,False,secondary,Clarkson Avenue,71.815,,,,30 mph,,,,,,,480213141,
62686085,1437016161,0,False,secondary,Maple Street,37.741,,,,30 mph,,,,,,,480213140,
62686085,62725894,0,False,secondary,Maple Street,130.96,,,,30 mph,,,,,,,38235954,
62688043,62792575,0,False,unclassified,Main Street,187.777,,,,30 mph,,,,,,,68167190,
62688043,62726304,0,False,unclassified,Main Street,18.818,,,,30 mph,,,,,,,68167190,
62688043,62632191,0,False,residential,South Street,114.857,,,,30 mph,,,,,,,8742309,
62689197,62689214,0,False,residential,Bradley Drive,257.646,,,,30 mph,,,,,,,8742386,
62689197,62860700,0,False,residential,Leroy Street,305.83,,,,30 mph,,,,,,,8754790,
62689197,62729178,0,False,residential,Leroy Street,435.685,,,,30 mph,,,,,,,8754790,
62689214,62689223,0,False,residential,Bradley Drive,73.444,,,,30 mph,,,,,,,8742386,
62689214,62689197,0,False,residential,Bradley Drive,257.646,,,,30 mph,,,,,,,8742386,
62689214,62917531,0,False,residential,Haggerty Road,89.377,,,,30 mph,,,,,,,8758192,
62689223,62689214,0,False,residential,Bradley Drive,73.444,,,,30 mph,,,,,,,8742386,
62690621,62697483,0,False,residential,"['Beal Street', 'Broad Street']",172.2,,,,30 mph,,,,,,,"[8743000, 8742577]",
62690621,62765994,0,False,residential,Munson Street,105.26,,,,30 mph,,,,,,,8747383,
62690621,62765991,0,False,residential,Munson Street,64.765,,,,30 mph,,,,,,,8747383,
62697305,62697310,0,False,residential,Spring Street,208.525,,,,30 mph,,,,,,,8742989,
62697310,62697305,0,False,residential,Spring Street,208.525,,,,30 mph,,,,,,,8742989,
62697310,62786772,0,False,secondary,Pierrepont Avenue,108.407,,,,30 mph,,,,,,,8754367,NY 56
62697310,62710211,0,False,secondary,Pierrepont Avenue,116.364,,,,30 mph,,,,,,,8754367,NY 56
62697483,62697484,0,False,residential,Broad Street,11.25,,,,30 mph,,,,,,,8743000,
62697483,62690621,0,False,residential,"['Beal Street', 'Broad Street']",172.2,,,,30 mph,,,,,,,"[8743000, 8742577]",
62697483,62765991,0,False,residential,Waverly,108.888,,,,30 mph,,,,,,,8755910,
62697484,62697483,0,False,residential,Broad Street,11.25,,,,30 mph,,,,,,,8743000,
62697484,62697489,0,False,residential,Broad Street,248.542,,,,30 mph,,,,,,,8743000,
62697484,62763173,0,False,residential,Waverly Street,107.86,,,,30 mph,,,,,,,8747220,
62697489,62803364,0,False,residential,Leroy Street,41.365,,,,30 mph,,,,,,,8754790,
62697489,62862694,0,False,residential,Leroy Street,207.935,,,,30 mph,,,,,,,8754790,
62697489,62697484,0,False,residential,Broad Street,248.542,,,,30 mph,,,,,,,8743000,
62705428,62655410,0,False,residential,Bay Street,69.04,,,,30 mph,,,,,,,8743514,
62705428,62632191,0,False,residential,Bay Street,179.304,,,,30 mph,,,,,,,8743514,
62705428,62792577,0,False,residential,Cedar Street,233.071,,,,30 mph,,,,,,,8755368,
62705430,62655410,0,False,residential,Bay Street,31.001,,,,30 mph,,,,,,,8743514,
62705430,62705437,0,False,residential,Bay Street,183.96,,,,30 mph,,,,,,,8743514,
62705430,62792583,0,False,residential,State Street,242.519,,,,30 mph,,,,,,,8753973,
62705437,687160028,0,False,residential,"['Bay Street', 'Hamilton Street', 'Riverview Street']",495.933,,,,30 mph,,,,,,,"[8743514, 174929796, 8745005]",
62705437,62705430,0,False,residential,Bay Street,183.96,,,,30 mph,,,,,,,8743514,
62705437,62707202,0,False,secondary,Pierrepont Avenue,49.269,,,,30 mph,,,,,,,8754367,NY 56
62705437,62657208,0,False,secondary,Pierrepont Avenue,345.788,,,,30 mph,,,,,,,8754367,NY 56
62705483,62705485,0,False,residential,Canton Drive,270.29,,,,25 mph,,,,,,,8743519,
62705483,62776992,0,False,secondary,Pierrepont Avenue,223.71,,,,30 mph,,,,,,,8754367,NY 56
62705485,62707903,0,False,residential,Watertown Drive,89.089,,,,15 mph,,,,,,,8758145,
62705485,62632164,0,False,residential,Canton Drive,233.19,,,,25 mph,,,,,,,8743519,
62705485,62705483,0,False,residential,Canton Drive,270.29,,,,25 mph,,,,,,,8743519,
62706473,62897470,0,False,primary,Market Street,58.379,,,,30 mph,,,,,,,45840647,NY 56
62706473,62914902,0,False,residential,"['Walnut Street', 'Riverside Drive']",571.889,,,,30 mph,,,,,,,"[8743588, 8757375]",
62706473,1233980658,0,False,primary,Market Street,75.148,,,,30 mph,,,,,,,45840647,NY 56
62707202,62707207,0,False,residential,Prospect Place,130.749,,,,30 mph,,,,,,,8743643,
62707202,62723985,0,False,secondary,Pierrepont Avenue,93.335,,,,30 mph,,,,,,,8754367,NY 56
62707202,62705437,0,False,secondary,Pierrepont Avenue,49.269,,,,30 mph,,,,,,,8754367,NY 56
62707207,62707202,0,False,residential,Prospect Place,130.749,,,,30 mph,,,,,,,8743643,
62707212,62707214,0,False,residential,Garden Street,245.601,,,,30 mph,,,,,,,8743644,
62707212,62878723,0,False,residential,Leroy Street,202.718,,,,30 mph,,,,,,,8754790,
62707212,62878721,0,False,residential,Leroy Street,145.9,,,,30 mph,,,,,,,8754790,
62707214,62707212,0,False,residential,Garden Street,245.601,,,,30 mph,,,,,,,8743644,
62707214,62707218,0,False,residential,Garden Street,184.176,,,,30 mph,,,,,,,8743644,
62707214,62763176,0,False,residential,Waverly Street,202.819,,,,30 mph,,,,,,,8747220,
62707214,62763173,0,False,residential,Waverly Street,143.331,,,,30 mph,,,,,,,8747220,
62707218,62916530,0,False,primary,Market Street,11.787,,,,30 mph,,,,,,,45840647,NY 56
62707218,62708051,0,False,primary,Market Street,80.283,,,,30 mph,,,,,,,45840647,NY 56
62707218,62707214,0,False,residential,Garden Street,184.176,,,,30 mph,,,,,,,8743644,
62707903,62705485,0,False,residential,Watertown Drive,89.089,,,,15 mph,,,,,,,8758145,
62707903,62655398,0,False,residential,Massena Drive,302.981,,,,15 mph,,,,,,,8743695,
62707903,62925709,0,False,residential,Watertown Drive,90.08,,,,15 mph,,,,,,,8758145,
62707917,62655398,0,False,residential,Massena Drive,147.08,,,,15 mph,,,,,,,8743695,
62707917,361256818,0,False,residential,Barrington Drive,64.247,,,,15 mph,,,,,,,8743879,
62707917,62710212,0,False,residential,Barrington Drive,219.012,,,,15 mph,,,,,,,8743879,
62708048,62708051,0,False,residential,Canal Street,149.475,,,,30 mph,,,,,,,28272396,
62708051,62707218,0,False,primary,Market Street,80.283,,,,30 mph,,,,,,,45840647,NY 56
62708051,62909263,0,False,primary,Market Street,62.158,,,,30 mph,,,,,,,45840647,NY 56
62708051,62708048,0,False,residential,Canal Street,149.475,,,,30 mph,,,,,,,28272396,
62708124,62708138,0,False,residential,Sealy Drive,228.293,,,,30 mph,,,,,,,8743721,
62708138,62859059,0,False,trunk,Lawrence Avenue,139.392,2,,,30 mph,,,,,,,8753551,US 11
62708138,62708124,0,False,residential,Sealy Drive,228.293,,,,30 mph,,,,,,,8743721,
62708138,62772096,0,False,trunk,Lawrence Avenue,906.862,2,,,30 mph,,,,,,,8753551,US 11
62709147,62709168,0,False,residential,Country Lane,512.84,,,,,,,,,,,8743804,
62709168,62709147,0,False,residential,Country Lane,512.84,,,,,,,,,,,8743804,
62709168,62860691,0,False,primary,"['Market Street', 'State Highway 56']",1081.868,4,,,30 mph,,,,,,,"[45840647, 8749119]",NY 56
62710211,62854985,0,False,secondary,Pierrepont Avenue,69.926,,,,30 mph,,,,,,,8754367,NY 56
62710211,62710212,0,False,residential,Barrington Drive,136.628,,,,15 mph,,,,,,,8743879,
62710211,62697310,0,False,secondary,Pierrepont Avenue,116.364,,,,30 mph,,,,,,,8754367,NY 56
62710212,62707917,0,False,residential,Barrington Drive,219.012,,,,15 mph,,,,,,,8743879,
62710212,62710211,0,False,residential,Barrington Drive,136.628,,,,15 mph,,,,,,,8743879,
62710212,62776993,0,False,residential,Watertown Drive,195.268,,,,15 mph,,,,,,,38366904,
62710215,361256818,0,False,residential,Barrington Drive,109.655,,,,15 mph,,,,,,,8743879,
62710215,62782956,0,False,residential,Ogdensburg Drive,145.434,,,,25 mph,,,,,,,8753690,
62710215,62710218,0,False,residential,Barrington Drive,274.206,,,,"['25 mph', '30 mph']",,,yes,,,,"[95135120, 95135171, 111478783]",
62710218,62731336,0,False,unclassified,Main Street,557.356,,,,30 mph,,,,,,,68167190,
62710218,62792570,0,False,unclassified,Main Street,139.034,,,,30 mph,,,,,,,68167190,
62710218,62710215,0,False,residential,Barrington Drive,274.206,,,,"['25 mph', '30 mph']",,,yes,,,,"[95135120, 95135171, 111478783]",
62718264,62718268,0,False,residential,Wellings Drive,195.148,,,,30 mph,,,,,,,8744677,
62718264,62876713,0,False,secondary,Elm Street,102.569,,,,30 mph,,,,,,,45840645,NY 11B
62718264,62914692,0,False,secondary,Elm Street,278.126,,,,30 mph,,,,,,,45840645,NY 11B
62718268,62718264,0,False,residential,Wellings Drive,195.148,,,,30 mph,,,,,,,8744677,
62718268,62925809,0,False,residential,Ridgewood Lane,23.012,,,,30 mph,,,,,,,8758162,
62718268,62661108,0,False,residential,Ridgewood Lane,99.563,,,,30 mph,,,,,,,8758162,
62718614,1437016161,0,True,secondary,Maple Street,162.034,,,,30 mph,,,,,,,28275519,
62718614,1437016152,0,False,trunk,Sandstone Drive,143.438,4,,,30 mph,,,,,,,480213145,US 11
62718614,62657227,0,False,trunk,"['Maple Street', 'Sandstone Drive']",205.924,4,,,30 mph,,,,,,,"[111478786, 480213151]",US 11
62718682,62760870,0,False,primary,Market Street,56.388,,,,30 mph,,,,,,,45840647,NY 56
62718682,62650021,0,False,trunk,Sandstone Drive,853.444,4,,,30 mph,,,yes,,,,"[8744696, 38235694, 38235695]",US 11
62718682,62860311,0,False,trunk,Market Street,137.538,4,,,30 mph,,,,,,,45840646,US 11;NY 56
62718757,62718764,0,False,residential,,38.155,,,,30 mph,,,,,,,8744707,
62718764,62718766,0,False,residential,,41.1,,,,30 mph,,,,,,,8744707,
62718764,62718757,0,False,residential,,38.155,,,,30 mph,,,,,,,8744707,
62718764,62725901,0,False,residential,Swan Street,59.403,,,,30 mph,,,,,,,8745101,
62718764,62725894,0,False,residential,Swan Street,55.81,,,,30 mph,,,,,,,8745101,
62718766,62718764,0,False,residential,,41.1,,,,30 mph,,,,,,,8744707,
62721086,62916528,0,False,secondary,Market Street,13.792,,,,30 mph,,,,,,,28275518,NY 56
62721086,62721093,0,False,residential,Raymond Street,175.819,,,,30 mph,,,,,,,8744829,
62721086,62677993,0,False,secondary,Market Street,122.839,,,,30 mph,,,,,,,28275518,NY 56
62721093,62721086,0,False,residential,Raymond Street,175.819,,,,30 mph,,,,,,,8744829,
