u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212058577,212058580,0,False,residential,Freeman Street,66.004,,,,,,,,,,,20073793,
212058577,212243580,0,False,residential,Lindsay Avenue,277.26,,,,,,,,,,,20086299,
212058577,212102942,0,False,residential,Lindsay Avenue,82.794,,,,,,,,,,,20086299,
212058580,212058582,0,False,residential,Freeman Street,67.181,,,,,,,,,,,20073793,
212058580,212058577,0,False,residential,Freeman Street,66.004,,,,,,,,,,,20073793,
212058580,212185540,0,False,residential,Lakeview Avenue,279.434,,,,,,,,,,,20082140,
212058580,212171148,0,False,residential,Lakeview Avenue,173.0,,,,,,,,,,,20082140,
212058582,212058584,0,False,residential,Freeman Street,80.305,,,,,,,,,,,20073793,
212058582,212058580,0,False,residential,Freeman Street,67.181,,,,,,,,,,,20073793,
212058582,212288143,0,False,residential,McLaughlin Avenue,282.527,,,,,,,,,,,20088188,
212058582,212171145,0,False,residential,McLaughlin Avenue,173.369,,,,,,,,,,,20088188,
212058584,212058582,0,False,residential,Freeman Street,80.305,,,,,,,,,,,20073793,
212058584,212233156,0,False,residential,Mount View Avenue,41.012,,,,,,,,,,,20085504,
212058584,212216336,0,False,residential,Lantry Street,121.358,,,,,,,,,,,20084225,
212058604,212058616,0,False,residential,Sekon,141.507,,,,,,,,,,,20073800,
212058604,212195927,0,False,residential,Panther Mountain Road,455.104,,,,,,,,,,,31749603,
212058604,212195883,0,False,residential,Panther Mountain Road,342.199,,,,,,,,,,,31749603,
212058616,212058647,0,False,residential,Sekon,165.393,,,,,,,,,,,20073800,
212058616,212058604,0,False,residential,Sekon,141.507,,,,,,,,,,,20073800,
212058616,212099614,0,False,residential,,422.953,,,,,,,,,,,20077194,
212058647,212058655,0,False,residential,Sekon,56.572,,,,,,,,,,,20073800,
212058647,212058616,0,False,residential,Sekon,165.393,,,,,,,,,,,20073800,
212058647,212099154,0,False,residential,,118.275,,,,,,,,,,,20077166,
212058655,212058684,0,False,residential,Sekon,395.588,,,,,,,,,,,20073800,
212058655,212058684,1,False,residential,Sekon,188.638,,,,,,,,,,,20073805,
212058655,212058647,0,False,residential,Sekon,56.572,,,,,,,,,,,20073800,
212058684,212058691,0,False,residential,Sekon,76.837,,,,,,,,,,,20073800,
212058684,212058655,0,False,residential,Sekon,395.588,,,,,,,,,,,20073800,
212058684,212058655,1,False,residential,Sekon,188.638,,,,,,,,,,,20073805,
212058691,212058684,0,False,residential,Sekon,76.837,,,,,,,,,,,20073800,
212058921,212058936,0,False,residential,Dorothy Avenue,81.854,,,,,,,,,,,20073825,
212058921,212172035,0,False,residential,Isabelle Avenue,310.652,,,,,,,,,,,20085345,
212058921,212230807,0,False,residential,Isabelle Avenue,125.81,,,,,,,,,,,20085345,
212058936,212058921,0,False,residential,Dorothy Avenue,81.854,,,,,,,,,,,20073825,
212059407,212059413,0,False,residential,,48.268,,,,,,,,,,,20073874,
212059407,212063277,0,False,residential,Sugar Maple Lane,54.196,,,,,,,,,,,20083232,
212059407,212203275,0,False,residential,Sugar Maple Lane,23.27,,,,,,,,,,,20083232,
212059413,212059407,0,False,residential,,48.268,,,,,,,,,,,20073874,
212059585,212231698,0,False,unclassified,Willis Pond Road,84.227,,,,,,,,,,,544385591,
212059585,212059588,0,False,residential,,169.037,,,,,,,,,,,20073889,
212059585,212092682,0,False,unclassified,Willis Pond Road,1301.687,,,,,,,,,,,544385591,
212059588,212059585,0,False,residential,,169.037,,,,,,,,,,,20073889,
212059855,2978304619,0,False,residential,,32.656,,,,,,,,,,,294265658,
212059855,212240694,0,False,residential,Trombly Lean To Trail,2385.256,,,,,,,,,,,20086109,
212059855,212059866,0,False,residential,,315.254,,,,,,,,,,,294265658,
212059866,2978304619,0,False,primary,State Highway 3,327.561,2,,,55 mph,,,,,,,20082268,NY 3;NY 30
212059866,212115783,0,False,primary,State Highway 3,652.362,2,,,55 mph,,,,,,,20082268,NY 3;NY 30
212059866,212059855,0,False,residential,,315.254,,,,,,,,,,,294265658,
212059878,212059881,0,False,residential,,141.579,,,,,,,,,,,20073915,
212059878,212059896,0,False,primary,,93.444,,,,,,,,,,,124117195,NY 30
212059878,212199544,0,False,primary,,194.978,,,,,,,,,,,124117195,NY 30
212059881,212059883,0,False,residential,,65.499,,,,,,,,,,,20073915,
212059881,212059878,0,False,residential,,141.579,,,,,,,,,,,20073915,
212059881,212059907,0,False,residential,,84.024,,,,,,,,,,,20073919,
212059881,212059896,0,False,residential,,169.372,,,,,,,,,,,20073919,
212059883,212059881,0,False,residential,,65.499,,,,,,,,,,,20073915,
212059896,212059881,0,False,residential,,169.372,,,,,,,,,,,20073919,
212059896,212100408,0,False,primary,,151.577,,,,,,,,,,,124117195,NY 30
212059896,212059878,0,False,primary,,93.444,,,,,,,,,,,124117195,NY 30
212059907,212059881,0,False,residential,,84.024,,,,,,,,,,,20073919,
212060703,212060704,0,False,residential,,34.74,,,,,,,,,,,20074001,
212060704,212060703,0,False,residential,,34.74,,,,,,,,,,,20074001,
212060704,212234280,0,False,primary,Main Street,97.28,2,,,30 mph,,,,,,,20085623,NY 3
212060704,212234269,0,False,primary,Main Street,95.783,2,,,30 mph,,,,,,,20085623,NY 3
212060704,212288299,0,False,residential,5th Street,102.044,,,,,,,,,,,20088194,
212060858,212196044,0,False,residential,South Little Wolf Road,128.393,,,,,,,,,,,20082778,
212060858,212167230,0,False,residential,South Little Wolf Road,315.055,,,,,,,,,,,20082778,
212060858,212181802,0,False,residential,Mitchell Lane,687.755,,,,,,,,,,,20087142,
212061184,212061190,0,False,residential,,395.989,,,,,,,,,,,20074071,
212061184,212132118,0,False,residential,Adirondack Park,281.082,,,,,,,,,,,20078575,
212061184,212112680,0,False,residential,Adirondack Park,356.266,,,,,,,,,,,20078575,
212061190,212061184,0,False,residential,,395.989,,,,,,,,,,,20074071,
212061220,212061223,0,False,residential,,84.918,,,,,,,,,,,20074075,
212061220,212112779,0,False,residential,Adirondack Park,789.404,,,,,,,,,,,20077800,
212061220,212112680,0,False,residential,Adirondack Park,218.736,,,,,,,,,,,20077800,
212061223,212061220,0,False,residential,,84.918,,,,,,,,,,,20074075,
212061369,212061375,0,False,residential,,387.863,,,,,,,,,,,20074100,
212061369,212224845,0,False,unclassified,Flood Wood Road,692.321,,,,,,,,,,,124141429,
212061369,212204952,0,False,unclassified,Flood Wood Road,1020.889,,,,,,,,,,,124141429,
212061375,212061369,0,False,residential,,387.863,,,,,,,,,,,20074100,
212061734,212061737,0,False,residential,,98.687,,,,,,,,,,,20074133,
212061734,212113563,0,False,residential,Adirondack Park,57.243,,,,,,,,,,,20077830,
212061734,212113423,0,False,residential,Adirondack Park,1221.537,,,,,,,,,,,20077830,
212061737,212061734,0,False,residential,,98.687,,,,,,,,,,,20074133,
212061737,212061756,0,False,residential,,939.444,,,,,,,,,,,20074135,
212061737,212061745,0,False,residential,,479.752,,,,,,,,,,,20074133,
212061745,212061748,0,False,residential,,191.768,,,,,,,,,,,20074133,
212061745,212061737,0,False,residential,,479.752,,,,,,,,,,,20074133,
212061745,212061767,0,False,residential,,1421.833,,,,,,,,,,,20074137,
212061748,212061745,0,False,residential,,191.768,,,,,,,,,,,20074133,
212061756,212061737,0,False,residential,,939.444,,,,,,,,,,,20074135,
212061767,212061745,0,False,residential,,1421.833,,,,,,,,,,,20074137,
212062033,212062035,0,False,residential,,26.442,,,,,,,,,,,20074177,
212062033,212187461,0,False,residential,Old Piercefield Road,132.614,,,,,,,,,,,20088451,
212062033,212167033,0,False,residential,Old Piercefield Road,117.773,,,,,,,,,,,20088451,
212062035,212062033,0,False,residential,,26.442,,,,,,,,,,,20074177,
212062035,212187461,0,False,primary,State Highway 3,130.191,2,,,55 mph,,,,,,,20082315,NY 3
212062035,212187494,0,False,primary,State Highway 3,1029.412,2,,,55 mph,,,,,,,20082315,NY 3
212062060,212062063,0,False,residential,,134.959,,,,,,,,,,,20074182,
212062060,212214882,0,False,residential,North Little Wolf Road,292.447,,,,,,,,,,,20087399,
212062060,212086354,0,False,residential,North Little Wolf Road,77.324,,,,,,,,,,,20087399,
212062063,212062060,0,False,residential,,134.959,,,,,,,,,,,20074182,
212062408,212062410,0,False,residential,,75.341,,,,,,,,,,,20074227,
212062408,212115407,0,False,residential,Adirondack Park,50.996,,,,,,,,,,,20077899,
212062408,212115389,0,False,residential,Adirondack Park,145.337,,,,,,,,,,,20077899,
212062410,212062408,0,False,residential,,75.341,,,,,,,,,,,20074227,
212062516,212062813,0,False,residential,,2273.245,,,,,,,,,,,20074253,
212062516,212064665,0,False,residential,Adirondack Park,2111.113,,,,,,,,,,,"[20074689, 20078119]",
212062516,212117112,0,False,residential,Adirondack Park,738.083,,,,,,,,,,,20078119,
212062813,212062516,0,False,residential,,2273.245,,,,,,,,,,,20074253,
212062813,212115417,0,False,residential,Little Simon Road,4771.127,,,,,,,,,,,"[20076340, 20082695]",
212062813,212193260,0,False,residential,Little Simon Road,434.505,,,,,,,,,,,20082683,
212062876,212062895,0,False,residential,,289.953,,,,,,,,,,,20074263,
212062895,212062876,0,False,residential,,289.953,,,,,,,,,,,20074263,
212062936,212062965,0,False,residential,,358.864,,,,,,,,,,,20074275,
212062936,212104739,0,False,residential,Church Pond Road,439.182,,,,,,,,,,,20085319,
212062936,212093888,0,False,residential,Church Pond Road,346.394,,,,,,,,,,,20085319,
212062965,212062936,0,False,residential,,358.864,,,,,,,,,,,20074275,
212062965,212191707,0,False,residential,Church Pond Road,657.824,,,,,,,,,,,20085328,
212062965,212230678,0,False,residential,Church Pond Road,49.249,,,,,,,,,,,20085330,
212063056,212063059,0,False,residential,,82.534,,,,,,,,,,,20074286,
212063059,212063056,0,False,residential,,82.534,,,,,,,,,,,20074286,
212063059,212202176,0,False,residential,Clinton Avenue,56.21,,,,,,,,,,,20083145,
212063059,212202191,0,False,residential,Clinton Avenue,125.406,,,,,,,,,,,20083145,
212063252,212063272,0,False,residential,,267.551,,,,,,,,,,,20074304,
212063252,212063272,1,False,residential,Adirondack Park,142.964,,,,,,,,,,,20077794,
212063252,212085048,0,False,residential,Adirondack Park,62.672,,,,,,,,,,,20077794,
212063272,212063252,0,False,residential,,267.551,,,,,,,,,,,20074304,
212063272,212063252,1,False,residential,Adirondack Park,142.964,,,,,,,,,,,20077794,
212063272,212307200,0,False,residential,"['Haymeadow Road', 'Adirondack Park']",764.036,,,,,,,,,,,"[20077794, 20088863]",
212063277,212063280,0,False,residential,,46.65,,,,,,,,,,,20074306,
212063277,212203275,0,False,residential,Sugar Maple Lane,24.973,,,,,,,,,,,20083232,
212063277,212059407,0,False,residential,Sugar Maple Lane,54.196,,,,,,,,,,,20083232,
212063280,212063277,0,False,residential,,46.65,,,,,,,,,,,20074306,
212064006,212064009,0,False,residential,,77.081,,,,,,,,,,,20074376,
212064006,212064016,0,False,residential,Floodwood Road,206.378,,,,,,,,,,,20087301,
212064006,212214792,0,False,residential,Floodwood Road,326.677,,,,,,,,,,,20087301,
212064009,212064006,0,False,residential,,77.081,,,,,,,,,,,20074376,
212064016,212064024,0,False,residential,,81.46,,,,,,,,,,,20074378,
212064016,212087441,0,False,residential,Floodwood Road,242.738,,,,,,,,,,,20087301,
212064016,212064006,0,False,residential,Floodwood Road,206.378,,,,,,,,,,,20087301,
212064024,212064016,0,False,residential,,81.46,,,,,,,,,,,20074378,
212064031,212064035,0,False,residential,,119.896,,,,,,,,,,,20074380,
212064031,212115389,0,False,unclassified,Willis Pond Road,251.77,,,,,,,,,,,544385591,
212064031,212161764,0,False,unclassified,Willis Pond Road,529.279,,,,,,,,,,,544385591,
212064035,212064031,0,False,residential,,119.896,,,,,,,,,,,20074380,
212064045,212064065,0,False,residential,,162.087,,,,,,,,,,,20074383,
212064045,212175258,0,False,residential,Ski Tow Road,180.189,,,,,,,,,,,20085058,
212064045,212227512,0,False,residential,Ski Tow Road,2899.743,,,,,,,,,,,20085058,
212064065,212064045,0,False,residential,,162.087,,,,,,,,,,,20074383,
212064077,212064081,0,False,residential,,45.737,,,,,,,,,,,20074387,
212064081,212098113,0,False,residential,,46.093,,,,,,,,,,,20077089,
212064081,212064085,0,False,residential,,80.317,,,,,,,,,,,20074387,
212064081,212064077,0,False,residential,,45.737,,,,,,,,,,,20074387,
212064085,212064096,0,False,residential,,12.243,,,,,,,,,,,20074388,
212064085,212064091,0,False,residential,,28.126,,,,,,,,,,,20074387,
212064085,212064081,0,False,residential,,80.317,,,,,,,,,,,20074387,
212064091,212064085,0,False,residential,,28.126,,,,,,,,,,,20074387,
212064091,212148844,0,False,residential,Adirondack Park,61.655,,,,,,,,,,,20079645,
212064091,212148802,0,False,residential,Adirondack Park,204.142,,,,,,,,,,,20079645,
212064096,212064085,0,False,residential,,12.243,,,,,,,,,,,20074388,
212064418,212064665,0,False,residential,,2523.012,,,,,,,,,,,20074448,
212064418,212157375,0,False,residential,Adirondack Park,570.029,,,,,,,,,,,"[20076689, 20080316]",
212064418,212152498,0,False,residential,Adirondack Park,383.721,,,,,,,,,,,20079946,
212064665,212064418,0,False,residential,,2523.012,,,,,,,,,,,20074448,
212064665,212062516,0,False,residential,Adirondack Park,2111.113,,,,,,,,,,,"[20074689, 20078119]",
212064665,212117068,0,False,residential,Adirondack Park,994.524,,,,,,,,,,,20078018,
212065048,212065050,0,False,residential,,74.984,,,,,,,,,,,20074489,
212065048,212197316,0,False,residential,Lake Simon Road,601.136,,,,,,,,,,,20082829,
212065048,212197103,0,False,residential,Lake Simon Road,1429.622,,,,,,,,,,,20082829,
212065050,212065048,0,False,residential,,74.984,,,,,,,,,,,20074489,
212065508,212065563,0,False,residential,,1142.407,,,,,,,yes,,,,"[94552992, 20074517, 94553006]",
212065508,212141638,0,False,residential,Stetson Road,4670.429,,,,,,,,,,,"[20086784, 20074517]",
212065508,212090349,0,False,residential,,1957.506,,,,,,,,,,,20076530,
212065563,212184551,0,False,residential,Stetson Road,289.467,,,,,,,,,,,20086771,
212065563,212111353,0,False,residential,Stetson Road,428.69,,,,,,,,,,,20086771,
212065563,212065508,0,False,residential,,1142.407,,,,,,,yes,,,,"[94552992, 20074517, 94553006]",
212065721,212065724,0,False,residential,,82.585,,,,,,,,,,,20074536,
212065721,212065732,0,False,residential,Littlefields Road,36.262,,,,,,,,,,,20085066,
212065721,212088985,0,False,residential,Littlefields Road,38.243,,,,,,,,,,,20085066,
212065724,212065721,0,False,residential,,82.585,,,,,,,,,,,20074536,
212065732,212065736,0,False,residential,,26.279,,,,,,,,,,,20074538,
212065732,212065760,0,False,residential,Littlefields Road,144.442,,,,,,,,,,,20085066,
212065732,212065721,0,False,residential,Littlefields Road,36.262,,,,,,,,,,,20085066,
212065736,212065732,0,False,residential,,26.279,,,,,,,,,,,20074538,
212065760,212065763,0,False,residential,,28.064,,,,,,,,,,,20074541,
212065760,212065732,0,False,residential,Littlefields Road,144.442,,,,,,,,,,,20085066,
212065760,212088909,0,False,residential,Littlefields Road,101.05,,,,,,,,,,,20085066,
212065763,212065760,0,False,residential,,28.064,,,,,,,,,,,20074541,
212066750,212066752,0,False,residential,,90.256,,,,,,,,,,,20074650,
212066750,212254739,0,False,residential,Frog Lane,82.011,,,,,,,,,,,20088905,
212066750,212081900,0,False,residential,Frog Lane,188.092,,,,,,,,,,,20088906,
212066752,212066750,0,False,residential,,90.256,,,,,,,,,,,20074650,
212066952,212066994,0,False,residential,,368.305,,,,,,,,,,,20074674,
212066952,212066994,1,False,residential,Adirondack Park Preserve,977.729,,,,,,,,,,,20084093,
212066952,212120126,0,False,residential,Adirondack Park,1344.762,,,,,,,,,,,20078092,
212066994,212066952,0,False,residential,,368.305,,,,,,,,,,,20074674,
212066994,212066952,1,False,residential,Adirondack Park Preserve,977.729,,,,,,,,,,,20084093,
212066994,212122761,0,False,residential,Adirondack Park,2572.113,,,,,,,,,,,20078212,
212070863,212070866,0,False,residential,,401.007,,,,,,,,,,,20075131,
212070863,212070905,0,False,residential,,109.153,,,,,,,,,,,20075136,
212070863,212253791,0,False,residential,Hemlock Ledge Road,202.321,,,,,,,,,,,20087637,
212070866,212070868,0,False,residential,,84.743,,,,,,,,,,,20075131,
212070866,212070863,0,False,residential,,401.007,,,,,,,,,,,20075131,
212070866,212093823,0,False,residential,,60.861,,,,,,,,,,,20076769,
212070868,212070866,0,False,residential,,84.743,,,,,,,,,,,20075131,
212070888,212070905,0,False,residential,,249.403,,,,,,,,,,,20075136,
212070888,212070888,0,False,residential,,205.43,,,,,,,,,,,20077220,
212070888,212070888,1,False,residential,,205.43,,,,,,,,,,,20077220,
212070905,212093847,0,False,residential,,60.248,,,,,,,,,,,20076771,
212070905,212070863,0,False,residential,,109.153,,,,,,,,,,,20075136,
212070905,212070888,0,False,residential,,249.403,,,,,,,,,,,20075136,
212071958,212071961,0,False,residential,,9.013,,,,,,,,,,,20075201,
212071958,212129096,0,False,residential,Adirondack Park,100.959,,,,,,,,,,,20078457,
212071958,212191713,0,False,residential,"['Adirondack Park Preserve', 'Adirondack Park']",190.861,,,,,,,,,,,"[20084033, 20078457]",
212071961,212071958,0,False,residential,,9.013,,,,,,,,,,,20075201,
212072827,212073193,0,False,residential,,2787.815,,,,,,,,,,,20075336,
212072827,212117129,0,False,residential,Adirondack Park,213.27,,,,,,,,,,,20078005,
212072827,212117211,0,False,residential,Adirondack Park,3947.432,,,,,,,,,,,20078005,
212073193,212073260,0,False,residential,,737.807,,,,,,,,,,,20075336,
212073193,212072827,0,False,residential,,2787.815,,,,,,,,,,,20075336,
212073193,212073628,0,False,residential,Adirondack Park,1442.781,,,,,,,,,,,20078729,
212073260,212117211,0,False,residential,Adirondack Park,1323.087,,,,,,,,,,,"[20075336, 20078005]",
212073260,212073193,0,False,residential,,737.807,,,,,,,,,,,20075336,
212073260,212132433,0,False,residential,Adirondack Park,102.436,,,,,,,,,,,20078584,
212073628,212073631,0,False,residential,,24.52,,,,,,,,,,,20075364,
212073628,212135044,0,False,residential,Adirondack Park,3761.497,,,,,,,,,,,20078729,
212073628,212073193,0,False,residential,Adirondack Park,1442.781,,,,,,,,,,,20078729,
212073631,212073628,0,False,residential,,24.52,,,,,,,,,,,20075364,
212074299,212195883,0,False,residential,Adirondack Park Preserve,257.516,,,,,,,,,,,"[20084073, 20075399]",
212074503,212074503,0,False,residential,,86.747,,,,,,,,,,,20075413,
212074503,212074503,1,False,residential,,86.747,,,,,,,,,,,20075413,
212074503,212156450,0,False,residential,Adirondack Park,300.797,,,,,,,,,,,20080269,
212074955,212074957,0,False,residential,,358.015,,,,,,,,,,,20075439,
212074955,212163975,0,False,residential,Adirondack Park,1351.183,,,,,,,,,,,20080680,
212074955,212163744,0,False,residential,Adirondack Park,783.014,,,,,,,,,,,20080680,
212074957,212074955,0,False,residential,,358.015,,,,,,,,,,,20075439,
212074962,212074965,0,False,residential,,33.131,,,,,,,,,,,20075441,
212074962,212074974,0,False,residential,4th Avenue,21.107,,,,,,,,,,,20087064,
212074962,212260080,0,False,residential,"['Little Wolf Road', '4th Avenue', 'Wolf Pond Road']",466.324,,,,,,,,,,,"[20087064, 20087603, 20087135]",
212074965,212074962,0,False,residential,,33.131,,,,,,,,,,,20075441,
212074974,212074977,0,False,residential,,35.909,,,,,,,,,,,20075443,
212074974,212074962,0,False,residential,4th Avenue,21.107,,,,,,,,,,,20087064,
212074974,212257245,0,False,residential,4th Avenue,50.641,,,,,,,,,,,20087064,
212074977,212074974,0,False,residential,,35.909,,,,,,,,,,,20075443,
212075013,212075015,0,False,residential,,37.434,,,,,,,,,,,20075446,
212075013,212257245,0,False,residential,Washington Street,221.468,,,,,,,,,,,20088881,
212075013,212227899,0,False,residential,Washington Street,169.511,,,,,,,,,,,20088881,
212075015,212075013,0,False,residential,,37.434,,,,,,,,,,,20075446,
212075121,212075122,0,False,residential,,255.086,,,,,,,,,,,20075456,
212075121,212184640,0,False,residential,Hosley Avenue,300.012,,,,,,,,,,,20082072,
212075121,212184581,0,False,residential,Hosley Avenue,679.549,,,,,,,,,,,20082072,
212075122,212075121,0,False,residential,,255.086,,,,,,,,,,,20075456,
212075143,212157375,0,False,residential,Adirondack Park,501.013,,,,,,,,,,,"[20075459, 20080316]",
212075143,212116781,0,False,residential,Adirondack Park,239.432,,,,,,,,,,,20077951,
212075143,212092497,0,False,residential,Adirondack Park,637.0,,,,,,,,,,,"[20076695, 20077951]",
212075302,212172708,0,False,residential,Cliff Avenue,79.314,,,,,,,,,,,20087333,
212075302,212075308,0,False,residential,,73.541,,,,,,,,,,,20075473,
212075302,212097659,0,False,residential,Martin Street,142.175,,,,,,,,,,,20082862,
212075308,212075302,0,False,residential,,73.541,,,,,,,,,,,20075473,
212075555,212075558,0,False,residential,,20.004,,,,,,,,,,,20075487,
212075555,212230253,0,False,residential,Pleasant Avenue,32.428,,,,,,,,,,,20085289,
212075555,212230208,0,False,residential,Pleasant Avenue,99.701,,,,,,,,,,,20085289,
212075558,212075555,0,False,residential,,20.004,,,,,,,,,,,20075487,
212075770,212075772,0,False,residential,,73.838,,,,,,,,,,,20075505,
212075770,212096817,0,False,residential,Charland Road,160.832,,,,,,,,,,,20082674,
212075770,212191855,0,False,primary,State Highway 30,57.239,,,,45 mph,,,,,,,188007210,NY 30
212075770,212193131,0,False,primary,State Highway 30,570.255,,,,45 mph,,,,,,,"[188007210, 20086950]",NY 30
212075772,212075770,0,False,residential,,73.838,,,,,,,,,,,20075505,
212075799,212214524,0,False,residential,Church Street,11.773,,,,,,,,,,,20087364,
212075846,212095066,0,False,primary,State Highway 30,64.81,,,,45 mph,,,,,,,20086954,NY 30
212075846,212075852,0,False,residential,,103.175,,,,,,,,,,,20075515,
212075846,212095058,0,False,primary,State Highway 30,69.894,,,,45 mph,,,,,,,20086954,NY 30
212075852,212075846,0,False,residential,,103.175,,,,,,,,,,,20075515,
212075924,212075926,0,False,residential,,39.91,,,,,,,,,,,20075521,
212075924,212095066,0,False,primary,State Highway 30,106.255,,,,45 mph,,,,,,,20086954,NY 30
212075924,212096845,0,False,primary,State Highway 30,39.938,,,,45 mph,,,,,,,20086954,NY 30
212075926,212075924,0,False,residential,,39.91,,,,,,,,,,,20075521,
212077398,212109263,0,False,residential,Cheese Road,170.711,,,,,,,,,,,"[20075592, 20077650]",
212077398,212231611,0,False,unclassified,Haymeadow Road,226.757,,,,,,,,,,,20088850,
212077398,212234288,0,False,unclassified,Haymeadow Road,72.801,,,,,,,,,,,20088850,
212078811,212078839,0,False,residential,,489.849,,,,,,,,,,,20075685,
212078811,212193567,0,False,residential,Little Simon Road,1227.614,,,,,,,,,,,20082695,
212078811,212115417,0,False,residential,Little Simon Road,2232.504,,,,,,,,,,,20082695,
212078839,212078811,0,False,residential,,489.849,,,,,,,,,,,20075685,
212079017,212079020,0,False,residential,,41.98,,,,,,,,,,,20075704,
212079017,212140609,0,False,residential,Adirondack Park,126.211,,,,,,,,,,,20079020,
212079017,212151106,0,False,residential,Adirondack Park,230.661,,,,,,,,,,,20079838,
212079017,212214005,0,False,residential,Adirondack Park Preserve,248.024,,,,,,,,,,,20084057,
212079020,212079017,0,False,residential,,41.98,,,,,,,,,,,20075704,
212079020,212214005,0,False,residential,Off Hosley Street,211.452,,,,,,,,,,,20084385,
212079020,212172993,0,False,residential,Off Hosley Street,114.853,,,,,,,,,,,20084385,
212079877,212079880,0,False,residential,,78.511,,,,,,,,,,,20075764,
212079877,212123062,0,False,residential,Adirondack Park,177.922,,,,,,,,,,,20078231,
212079877,212079889,0,False,residential,Adirondack Park,91.17,,,,,,,,,,,"[20075765, 20078231]",
212079880,212079877,0,False,residential,,78.511,,,,,,,,,,,20075764,
212079880,212079889,0,False,residential,Adirondack Park,30.588,,,,,,,,,,,20079214,
212079880,212123062,0,False,residential,Adirondack Park,151.941,,,,,,,,,,,20079214,
212079889,212079880,0,False,residential,Adirondack Park,30.588,,,,,,,,,,,20079214,
212079889,212079877,0,False,residential,Adirondack Park,91.17,,,,,,,,,,,"[20075765, 20078231]",
212079889,212143017,0,False,residential,Adirondack Park,417.882,,,,,,,,,,,20079214,
212079974,212079979,0,False,residential,,22.898,,,,,,,,,,,20075774,
212079974,212079983,0,False,residential,Bungalow Bay,28.678,,,,,,,,,,,20085353,
212079974,212230938,0,False,residential,Bungalow Bay,12.561,,,,,,,,,,,20085353,
212079979,212098677,0,False,residential,,26.502,,,,,,,,,,,20077126,
212079979,212079983,0,False,residential,,22.349,,,,,,,,,,,20075774,
212079979,212079974,0,False,residential,,22.898,,,,,,,,,,,20075774,
212079983,212079979,0,False,residential,,22.349,,,,,,,,,,,20075774,
212079983,212098666,0,False,residential,Bungalow Bay,35.803,,,,,,,,,,,20085353,
212079983,212079974,0,False,residential,Bungalow Bay,28.678,,,,,,,,,,,20085353,
212080020,212080023,0,False,residential,,30.105,,,,,,,,,,,20075777,
212080020,212230900,0,False,residential,Bungalow Bay,162.828,,,,,,,,,,,20085348,
212080020,212230870,0,False,residential,Bungalow Bay,20.785,,,,,,,,,,,20085348,
212080023,212080020,0,False,residential,,30.105,,,,,,,,,,,20075777,
212080176,212080182,0,False,residential,,150.698,,,,,,,,,,,20075795,
212080176,212145065,0,False,residential,Adirondack Park,486.337,,,,,,,,,,,20079355,
212080176,212145002,0,False,residential,Adirondack Park,66.291,,,,,,,,,,,20079355,
212080182,212080176,0,False,residential,,150.698,,,,,,,,,,,20075795,
212080192,212080198,0,False,residential,,111.686,,,,,,,,,,,20075796,
212080192,212126892,0,False,residential,Adirondack Park,362.729,,,,,,,,,,,20078365,
212080192,212080205,0,False,residential,Adirondack Park,177.382,,,,,,,,,,,20079366,
212080192,212145002,0,False,residential,Adirondack Park,74.527,,,,,,,,,,,20079366,
212080198,212080192,0,False,residential,,111.686,,,,,,,,,,,20075796,
212080205,212080213,0,False,residential,,80.327,,,,,,,,,,,20075797,
212080205,212145162,0,False,residential,Adirondack Park,167.518,,,,,,,,,,,20079366,
212080205,212080192,0,False,residential,Adirondack Park,177.382,,,,,,,,,,,20079366,
212080213,212080205,0,False,residential,,80.327,,,,,,,,,,,20075797,
212080300,212080306,0,False,residential,,89.083,,,,,,,,,,,20075804,
212080300,212217230,0,False,residential,Wawbeek Road,112.94,,,,,,,,,,,20088787,
212080300,212080329,0,False,residential,Wawbeek Road,142.178,,,,,,,,,,,20088787,
212080306,212080309,0,False,residential,,71.501,,,,,,,,,,,20075804,
212080306,212080300,0,False,residential,,89.083,,,,,,,,,,,20075804,
212080306,212080321,0,False,residential,,111.46,,,,,,,,,,,20075806,
212080309,212080306,0,False,residential,,71.501,,,,,,,,,,,20075804,
212080321,212080306,0,False,residential,,111.46,,,,,,,,,,,20075806,
212080329,212080345,0,False,residential,,250.758,,,,,,,,,,,20075807,
212080329,212080300,0,False,residential,Wawbeek Road,142.178,,,,,,,,,,,20088787,
212080329,212080629,0,False,residential,Wawbeek Road,99.257,,,,,,,,,,,20088787,
212080345,212080329,0,False,residential,,250.758,,,,,,,,,,,20075807,
212080362,212080392,0,False,residential,,218.74,,,,,,,,,,,20075813,
212080362,212080392,1,False,residential,Hosley Avenue,68.583,,,,,,,,,,,20082072,
212080362,212184563,0,False,residential,Hosley Avenue,270.497,,,,,,,,,,,20082072,
212080392,212080362,0,False,residential,,218.74,,,,,,,,,,,20075813,
212080392,212080362,1,False,residential,Hosley Avenue,68.583,,,,,,,,,,,20082072,
212080392,212184551,0,False,residential,Hosley Avenue,284.31,,,,,,,,,,,20082072,
212080415,212081237,0,False,residential,Bartlett Carry Road,5204.038,,,,,,,,,,,20081153,
212080415,212080426,0,False,residential,Bartlett Carry Road,279.629,,,,,,,,,,,20081153,
212080415,212080426,1,False,residential,,355.466,,,,,,,,,,,20075817,
