osmid,x,y,ref,highway
183425471,-75.0673306,38.4169311,,
183425475,-75.0671395,38.4193229,,
183426349,-75.0652653,38.4167013,,
183426355,-75.0650612,38.4190652,,
183426373,-75.0652876,38.381467,,
183426385,-75.067337,38.381819,,
183426389,-75.067543,38.381861,,
183426390,-75.069259,38.382208,,
183427507,-75.056327,38.440966,,
183427510,-75.0566762,38.4387416,,
183427543,-75.058639,38.437128,,
183427547,-75.059264,38.437556,,
183427571,-75.060195,38.437998,,
183427675,-75.057998,38.425715,,
183427889,-75.0796214,38.356926,,
183427901,-75.079818,38.357531,,
183427910,-75.079765,38.358164,,
183428261,-75.0647402,38.4088981,,turning_loop
183428266,-75.0669454,38.4091593,,
183428274,-75.0796238,38.3493827,,
183428283,-75.08085,38.3490702,,
183428339,-75.066299,38.427267,,
183428370,-75.067825,38.427992,,turning_circle
183429757,-75.081474,38.358622,,
183429761,-75.08081,38.360274,,turning_circle
183430369,-75.0674846,38.4073533,,
183430372,-75.0672956,38.4079827,,
183430375,-75.0672183,38.4082182,,
183430378,-75.067016,38.408869,,
183430380,-75.066698,38.409989,,
183430812,-75.076972,38.353819,,
183431462,-75.0606,38.441706,,
183431471,-75.061827,38.442416,,
183431480,-75.063362,38.44332,,
183431502,-75.065063,38.444384,,
183431810,-75.064369,38.42243,,
183431814,-75.064315,38.42298,,
183431837,-75.063001,38.4237461,,turning_circle
183432261,-75.0835059,38.346595,,
183433901,-75.0728805,38.3565249,,
183433904,-75.0725043,38.3574363,,
183433907,-75.0721184,38.358358,,
183433912,-75.0713741,38.360183,,
183433974,-75.0680401,38.3725574,,
183433982,-75.0677537,38.3741688,,
183433986,-75.0675387,38.3749618,,
183433998,-75.0662951,38.3791086,,
183434006,-75.0660231,38.3799158,,
183434010,-75.0656937,38.3806268,,
183434037,-75.0646417,38.3838348,,
183434041,-75.0643036,38.3846252,,
183434065,-75.0632287,38.3878058,,
183434068,-75.0630237,38.3886228,,
183434076,-75.0623468,38.3910819,,
183434088,-75.0616967,38.3934478,,
183434097,-75.0612077,38.3950428,,
183434117,-75.059584,38.3998281,,
183434143,-75.0581107,38.4049878,,
183434153,-75.054088,38.4232205,,
183434963,-75.063919,38.435568,,
183435048,-75.066749,38.44068,,
183438692,-75.0559201,38.425413,,traffic_signals
183438703,-75.061805,38.425967,,
183438713,-75.055892,38.425524,,
183438724,-75.061782,38.426085,,
183439541,-75.064605,38.448927,,
183439543,-75.064094,38.449412,,
183439553,-75.063568,38.449889,,
183439557,-75.0630567,38.4503804,,
183439565,-75.0623799,38.4510224,,
183439569,-75.0623131,38.4510768,,
183441090,-75.063139,38.447943,,
183441202,-75.065688,38.449637,,
183442212,-75.064765,38.382983,,
183442227,-75.0668179,38.3834347,,
183442230,-75.0670042,38.3834891,,
183442237,-75.069808,38.3840436,,
183442977,-75.061636,38.435343,,
183442985,-75.064064,38.437861,,
183442991,-75.064743,38.438544,,
183443014,-75.065223,38.440218,,
183443059,-75.063537,38.441485,,
183443067,-75.052685,38.446323,,
183443069,-75.052878,38.446333,,
183443070,-75.054328,38.4464289,,
183443086,-75.055511,38.446505,,
183443100,-75.056915,38.446585,,
183443114,-75.058501,38.446692,,
183443116,-75.05899,38.446711,,
183443120,-75.059309,38.446722,,
183443123,-75.06011,38.446764,,
183443126,-75.060912,38.446818,,
183443130,-75.06172,38.446864,,
183443137,-75.06253,38.446894,,
183443342,-75.066604,38.377421,,
183443352,-75.0686114,38.3778629,,
183443357,-75.0687866,38.3778744,,
183443365,-75.0705467,38.3782167,,
183445523,-75.065513,38.387412,,traffic_signals
183445527,-75.065711,38.387446,,traffic_signals
183445535,-75.0682526,38.387989,,
183447754,-75.0707815,38.4086979,,turning_circle
183447819,-75.0885912,38.3319657,,
183447853,-75.0852638,38.3314237,,
183447858,-75.0861512,38.3315406,,traffic_signals
183447866,-75.0869198,38.3327436,,
183447872,-75.06346,38.439318,,
183448513,-75.0662681,38.3850286,,
183448520,-75.0664705,38.3850685,,
183448532,-75.057716,38.406783,,
183448536,-75.059081,38.407086,,
183449126,-75.068564,38.441756,,
183449418,-75.0665115,38.378222,,
183449423,-75.0684023,38.3786652,,
183449662,-75.0524023,38.4511732,,
183449666,-75.053831,38.451211,,
183449678,-75.0578986,38.451161,,
183449682,-75.059401,38.451132,,
183449702,-75.05383,38.451121,,
183449706,-75.0549273,38.4511028,,
183449717,-75.0578995,38.4510597,,
183449721,-75.059516,38.451033,,
183449757,-75.0888137,38.3264383,,
183449761,-75.0883255,38.3273505,,traffic_signals
183449765,-75.087982,38.328028,,
183449767,-75.0877053,38.3285655,,
183449768,-75.0873027,38.3293269,,traffic_signals
183449770,-75.0870396,38.3298317,,
183449771,-75.0867155,38.3304664,,
183449772,-75.086378,38.331111,,
183451374,-75.065055,38.435664,,
183451396,-75.067489,38.441111,,
183451407,-75.0736724,38.359799,,
183452242,-75.066169,38.435782,,
183452329,-75.0830381,38.3350856,,
183452337,-75.0841125,38.3354483,,
183452347,-75.0852614,38.3358361,,
183452350,-75.0864165,38.3362259,,
183452359,-75.0875625,38.3366127,,
183452411,-75.062681,38.408465,,
183452415,-75.063806,38.408619,,
183452420,-75.059048,38.407971,,
183452422,-75.0598195,38.4080928,,
183452425,-75.0605268,38.4081981,,
183452429,-75.061241,38.408286,,
183452433,-75.061943,38.408396,,
183452437,-75.062672,38.408511,,
183452584,-75.0699209,38.3728545,,
183453065,-75.05344,38.4404621,,
183453078,-75.053604,38.440455,,
183453124,-75.0550407,38.4406299,,
183453451,-75.080383,38.35834,,
183453458,-75.079726,38.359953,,turning_circle
183454364,-75.0806795,38.339533,,
183454373,-75.0817373,38.3398821,,traffic_signals
183454388,-75.0826281,38.3401875,,
183454395,-75.0828743,38.340258,,
183454406,-75.0840128,38.3406465,,
183454410,-75.0847983,38.3409077,,
183455822,-75.0544816,38.4392645,,
183455825,-75.0545726,38.4388145,,
183456321,-75.058883,38.447932,,
183456325,-75.058807,38.448569,,
183456328,-75.058776,38.448676,,
183456334,-75.058067,38.449133,,
183456338,-75.057973,38.449194,,
183456343,-75.056953,38.449854,,
183456349,-75.0568585,38.4499231,,
183456635,-75.072227,38.363978,,traffic_signals
183456637,-75.072424,38.364013,,traffic_signals
183456836,-75.0557605,38.4253808,,traffic_signals
183456839,-75.054831,38.42528,,
183456842,-75.053657,38.4252,,
183456865,-75.0551466,38.4293783,,
183456868,-75.0542284,38.4292917,,
183457555,-75.0588601,38.4031197,,
183457558,-75.0602956,38.4034132,,traffic_signals
183457560,-75.0604913,38.4034532,,traffic_signals
183457564,-75.061982,38.4037581,,
183458316,-75.062064,38.443346,,
183458320,-75.061911,38.444865,,
183458379,-75.06163,38.447962,,
183458532,-75.072547,38.363493,,
183458536,-75.0747642,38.3638502,,
183458555,-75.0543787,38.4344093,,
183458558,-75.053451,38.434317,,
183458574,-75.0697084,38.3736725,,traffic_signals
183458578,-75.0698726,38.3737061,,traffic_signals
183459897,-75.0561247,38.4371885,,
183459965,-75.061225,38.439257,,
183460036,-75.066309,38.4168156,,
183460049,-75.0680913,38.4167718,,
183460247,-75.058455,38.437281,,
183460271,-75.0574507,38.438817,,
183460275,-75.057113,38.441039,,
183461383,-75.0739405,38.3537973,,
183461389,-75.076033,38.354319,,
183461390,-75.0762329,38.3543761,,
183461969,-75.0641985,38.3914441,,
183461973,-75.0643897,38.3914744,,traffic_signals
183462045,-75.0631938,38.3946214,,traffic_signals
183462050,-75.0633566,38.3946489,,traffic_signals
183462059,-75.0649992,38.3949896,,
183462525,-75.0824623,38.3385544,,
183462528,-75.081336,38.338168,,
183462866,-75.0560621,38.4233825,,traffic_signals
183462868,-75.055099,38.423304,,
183462899,-75.067084,38.375777,,
183462903,-75.0690792,38.37608,,
183463727,-75.0634656,38.3989307,,
183463737,-75.0620611,38.3986439,,
183463741,-75.061883,38.3986323,,
183465015,-75.0846806,38.3592367,,
183465029,-75.082641,38.358916,,
183465082,-75.0783051,38.3437984,,
183465085,-75.0794016,38.3441681,,traffic_signals
183465098,-75.0804512,38.344522,,
183465102,-75.0805859,38.3445675,,
183465108,-75.0816751,38.3449341,,
183465116,-75.082838,38.3453269,,
183465467,-75.0801366,38.3403804,,
183465470,-75.0812513,38.3407554,,
183465478,-75.0822984,38.3411076,,
183465484,-75.0824172,38.3411476,,
183465492,-75.083536,38.3415239,,
183465496,-75.0843314,38.3417914,,
183466764,-75.0763235,38.3483383,,
183467050,-75.0647553,38.3898414,,
183467054,-75.0649334,38.3898602,,
183467056,-75.0664417,38.3901785,,
183468498,-75.0660898,38.4191981,,
183468635,-75.067588,38.381026,,
183468639,-75.0677859,38.3810856,,
183468642,-75.0690729,38.3813468,,
183469414,-75.0602882,38.4064992,,
183469434,-75.0595512,38.4092934,,
183469438,-75.059524,38.409373,,
183469689,-75.082931,38.358241,,
183469710,-75.0845663,38.3585199,,
183469966,-75.0840769,38.3331978,,
183469972,-75.0851113,38.333541,,traffic_signals
183469979,-75.0862944,38.3339343,,traffic_signals
183469984,-75.0874488,38.3343244,,
183469996,-75.0885961,38.3347118,,
183471293,-75.062095,38.448893,,
183471372,-75.064636,38.450606,,
183471412,-75.059524,38.447184,,
183471424,-75.060791,38.448027,,
183471484,-75.062583,38.446268,,
183471507,-75.062728,38.44493,,
183471521,-75.062873,38.443819,,
183472094,-75.070137,38.3720205,,
183472109,-75.0878078,38.3334036,,
183472133,-75.086891,38.3353467,,
183472138,-75.0859321,38.3371155,,
183472141,-75.0854541,38.3379915,,
183472151,-75.0849757,38.3388704,,
183472157,-75.0844939,38.3397596,,
183472164,-75.0831885,38.3421581,,
183472168,-75.082779,38.3429134,,
183472171,-75.0821623,38.3440487,,
