u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
63466983,65805402,0,False,residential,Dean Road,305.46,2,15.2,,,,,,,,,8809851,
63466983,65771611,0,False,tertiary,"['Marlboro Road', 'Stow Road']",289.832,"['1', '2']","['7.6', '10.7']",,,,,,,,,"[8995154, 8809950]",
65758936,65904820,0,False,residential,Mcneil Circle,157.83,2,15.2,,,,,,,,,8994997,
65758936,65864111,0,False,tertiary,Concord Road,319.776,2,30.5,,,,,,,,,8996150,
65760208,65828570,0,False,residential,Roberts Road,341.084,2,15.2,,,,,,,,,8994648,
65760208,65829998,0,False,tertiary,Stow Road,454.619,2,7.6,,,,,,,,,8995154,
65760208,65867118,0,False,tertiary,Stow Road,145.745,2,7.6,,,,,,,,,8995154,
65760389,65898534,0,False,tertiary,Concord Road,214.093,2,30.5,,,,,,,,,8996150,
65761187,65901460,0,False,residential,Miele Road,203.989,,,,,,,,,,,8995675,
65770146,65771611,0,False,residential,Balcom Road,167.722,,,,,,,,,,,8995676,
65771611,63466983,0,False,tertiary,"['Marlboro Road', 'Stow Road']",289.832,"['1', '2']","['10.7', '7.6']",,,,,,,,,"[8995154, 8809950]",
65771611,65901460,0,False,tertiary,Stow Road,241.135,2,7.6,,,,,,,,,8995154,
65771611,65770146,0,False,residential,Balcom Road,167.722,,,,,,,,,,,8995676,
65773328,65856750,0,False,residential,Collins Drive,353.533,2,15.2,,,,,,,,,8995085,
65773328,65856750,1,False,residential,Rolfe Road,225.936,2,15.2,,,,,,,,,8995329,
65773328,65864088,0,False,residential,Collins Drive,101.298,2,15.2,,,,,,,,,8995085,
65776909,65829998,0,False,residential,Beaman Lane,396.213,2,9.1,,,,,,,,,8994594,
65784460,65805402,0,False,residential,Russo Drive,190.904,,,,,,,,,,,8995674,
65786505,65904275,0,False,residential,Simpson Road,200.441,2,30.2,,,,,,,,,8994595,
65786505,65829275,0,False,residential,Simpson Road,42.939,2,30.2,,,,,,,,,8994595,
65786505,65899069,0,False,residential,Dawes Road,74.602,2,15.2,,,,,,,,,8995357,
65795709,65844111,0,False,tertiary,Goodale Street,115.768,2,30.2,,,,,,,,,8995316,
65795709,65844111,1,False,residential,"['Cameron Drive', 'Taylor Road']",1394.18,2,15.2,,,,,,,,,"[8995961, 8995364]",
65795709,65904161,0,False,tertiary,Goodale Street,88.312,2,30.2,,,,,,,,,8995316,
65800760,65835827,0,False,residential,Sunset Circle,112.174,2,11.0,,,,,,,,,8994808,
