u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42720760,42738090,0,False,residential,Lakeview Place,113.063,,,,,,,,,,,5699195,
42720760,561602856,0,False,primary,Broadway,88.755,4,,,,,,,,,,141106387,US 9
42724366,1569983840,0,True,tertiary_link,,64.535,,,,,,,,,,,5695876,
42726946,561605812,0,True,motorway_link,,138.154,,,,,,,,,,,44220652,
42726946,42733073,0,False,residential,Fieldston Road,90.94,,,,,,,yes,,,,"[44220656, 143497497, 143482013]",
42729464,1569983907,0,True,tertiary,Riverdale Avenue,23.916,,,,,,,,,,,223508329,
42729464,1569983840,0,True,motorway_link,,18.009,,,,,,,,,,,5696259,
42732322,42738132,0,False,residential,Manhattan College Parkway,50.17,,,,,,,,,,,141106389,
42732322,1544651254,0,True,primary,Broadway,26.117,3,,,,,,,,,,141122797,US 9
42732993,42732997,0,False,residential,West 251st Street,50.32,,,,,,,,,,,5696473,
42732993,1570206529,0,False,residential,Old Albany Post Road,191.362,,,,,,,,,,,5699108,
42732997,42732993,0,False,residential,West 251st Street,50.32,,,,,,,,,,,5696473,
42732997,42738082,0,False,residential,Post Road,117.661,,,,,,,,,,,5696812,
42732997,42738086,0,False,residential,Post Road,203.546,,,,,,,,,,,5696812,
42732997,42757990,0,False,residential,Fieldston Terrace,222.79,,,,,,,,,,,5698471,
42733001,1579630565,0,False,tertiary,Manhattan College Parkway,62.028,,,,,,,,,,,5698418,
42733001,1579639180,0,False,tertiary,Manhattan College Parkway,25.456,,,,,,,,,,,5698418,
42733003,1579639196,0,True,residential,Fieldston Road,31.629,,,,,,,,,,,144424197,
42733003,1579630759,0,False,residential,Fieldston Road,12.63,,,,,,,,,,,144425261,
42733008,1579639173,0,True,residential,Fieldston Road,99.931,,,,,,,,,,,144424197,
42733008,1579630766,0,False,residential,West 245th Street,10.895,,,,,,,,,,,144426189,
42733008,42737385,0,False,residential,West 245th Street,96.725,,,,,,,,,,,144426189,
42733015,42747691,0,False,residential,West 246th Street,102.464,,,,,,,,,,,5699345,
42733015,1570455610,0,True,residential,Fieldston Road,18.8,,,,,,,,,,roundabout,143518614,
42733021,1570448193,0,True,residential,Fieldston Road,99.928,,,,,,,,,,,5696479,
42733021,1570455578,0,True,residential,Fieldston Road,11.17,,,,,,,,,,roundabout,143518614,
42733024,42778250,0,False,residential,West 246th Street,120.427,,,,,,,,,,,143500582,
42733024,42733021,0,True,residential,Fieldston Road,21.3,,,,,,,,,,roundabout,143518614,
42733037,1579639180,0,False,tertiary,Manhattan College Parkway,36.257,,,,,,,,,,,5698418,
42733037,1579639203,0,True,residential,Fieldston Road,57.135,,,,,,,,,,,144424197,
42733054,1570448216,0,False,residential,Goodridge Avenue,11.758,,,,,,,,,,,5697966,
42733054,42733059,0,True,residential,Fieldston Road,107.848,,,,,,,,,,,5696479,
42733059,1570448213,0,False,residential,Indian Road,11.304,,,,,,,,,,,5696740,
42733059,42733063,0,True,residential,Fieldston Road,104.065,,,,,,,,,,,5696479,
42733059,42753677,0,False,residential,"['Indian Road', 'Livingston Avenue']",264.255,,,,,,,,,,,"[5696740, 5699270]",
42733063,1570206501,0,False,residential,West 250th Street,13.193,,,,,,,,,,,5698757,
42733063,42753681,0,False,residential,West 250th Street,103.328,,,,,,,,,,,5698757,
42733063,1570206489,0,True,residential,Fieldston Road,255.971,,,,,,,,,,,143497503,
42733073,1570455573,0,False,residential,West 253rd Street,211.462,,,,,,,,,,,5699581,
42733073,42738090,0,False,residential,"['West 253rd Street', 'Post Road']",518.261,,,,,,,,,,,"[5696812, 5699581]",
42733073,42726946,0,False,residential,Fieldston Road,90.94,,,,,,,yes,,,,"[44220656, 143497497, 143482013]",
42733073,1570206550,0,True,residential,Fieldston Road,162.964,,,,,,,,,,,143497502,
42736738,1570230685,0,False,residential,College Road,332.057,,,,,,,,,,,5696697,
42736738,42753677,0,False,residential,Waldo Avenue,97.239,,,,,,,,,,,5697774,
42736738,42753670,0,False,residential,Waldo Avenue,94.488,,,,,,,,,,,5697774,
42737372,42737373,0,False,residential,West 245th Street,93.161,,,,,,,,,,,5696739,
42737372,42753670,0,False,residential,Waldo Avenue,165.979,,,,,,,,,,,5697774,
42737372,1579668049,0,False,residential,Waldo Avenue,111.705,,,,,,,,,,,5697774,
42737373,42737379,0,False,residential,West 245th Street,139.994,,,,,,,,,,,5696739,
42737373,42737372,0,False,residential,West 245th Street,93.161,,,,,,,,,,,5696739,
42737373,42746308,0,False,residential,Greystone Avenue,100.013,,,,,,,,,,,5697348,
42737379,274330638,0,False,residential,West 245th Street,12.482,,,,,,,,,,,5696739,
42737379,42737373,0,False,residential,West 245th Street,139.994,,,,,,,,,,,5696739,
42737379,42778250,0,False,residential,Livingston Avenue,213.461,,,,,,,,,,,5699268,
42737385,42733008,0,False,residential,West 245th Street,96.725,,,,,,,,,,,144426189,
42738082,42732997,0,False,residential,Post Road,117.661,,,,,,,,,,,5696812,
42738086,42738090,0,False,residential,Post Road,116.483,,,,,,,,,,,5696812,
42738086,42732997,0,False,residential,Post Road,203.546,,,,,,,,,,,5696812,
42738086,42757990,0,False,residential,West 252nd Street,77.32,,,,,,,,,,,5699199,
42738090,42720760,0,False,residential,Lakeview Place,113.063,,,,,,,,,,,5699195,
42738090,42733073,0,False,residential,"['West 253rd Street', 'Post Road']",518.261,,,,,,,,,,,"[5696812, 5699581]",
42738090,42738086,0,False,residential,Post Road,116.483,,,,,,,,,,,5696812,
42738132,42738134,0,False,residential,Post Road,22.712,,,,,,,,,,,5696818,
42738132,42732322,0,False,residential,Manhattan College Parkway,50.17,,,,,,,,,,,141106389,
42738134,42738132,0,False,residential,Post Road,22.712,,,,,,,,,,,5696818,
42738134,42738141,0,False,residential,Post Road,172.201,,,,,,,,,,,5696818,
42738141,42738145,0,False,residential,Post Road,24.783,,,,,,,,,,,5696818,
42738141,42738134,0,False,residential,Post Road,172.201,,,,,,,,,,,5696818,
42738141,42750507,0,False,residential,West 246th Street,80.473,,,,,,,,,,,143500582,
42738145,42738141,0,False,residential,Post Road,24.783,,,,,,,,,,,5696818,
42746308,42737373,0,False,residential,Greystone Avenue,100.013,,,,,,,,,,,5697348,
42746308,42746308,0,False,residential,Greystone Avenue,45.158,,,,,,,,,,,144428339,
42746308,42746308,1,False,residential,Greystone Avenue,45.158,,,,,,,,,,,144428339,
42747689,1579630709,0,False,residential,Delafield Avenue,10.812,,,,,,,,,,,5697450,
42747689,1579630565,0,False,tertiary,Manhattan College Parkway,20.68,,,,,,,,,,,5698418,
42747691,42759609,0,False,residential,West 246th Street,87.327,,,,,,,,,,,5699345,
42747691,42733015,0,False,residential,West 246th Street,102.464,,,,,,,,,,,5699345,
42747691,42747694,0,False,residential,Delafield Avenue,224.803,,,,,,,,,,,5697450,
42747691,1579630709,0,False,residential,Delafield Avenue,279.286,,,,,,,,,,,5697450,
42747691,42770475,0,False,residential,Grosvenor Avenue,475.895,,,,,,,,,,,5699180,
42747694,42747697,0,False,residential,Delafield Avenue,208.268,,,,,,,,,,,5697450,
42747694,42747691,0,False,residential,Delafield Avenue,224.803,,,,,,,,,,,5697450,
42747694,42770465,0,False,residential,Iselin Avenue,312.62,,,,,,,,,,,5699486,
42747697,42747694,0,False,residential,Delafield Avenue,208.268,,,,,,,,,,,5697450,
42747697,42759613,0,False,residential,West 250th Street,61.479,,,,,,,,,,,5698755,
42747697,42770465,0,False,residential,West 250th Street,156.765,,,,,,,,,,,5698755,
42747741,42759617,0,False,residential,West 252nd Street,51.991,,,,,,,,,,,5699201,
42747741,42747745,0,False,residential,Delafield Avenue,85.384,,,,,,,,,,,5697455,
42747741,1570461872,0,False,residential,Iselin Avenue,105.76,,,,,,,,,,,5699485,
42747745,42747741,0,False,residential,Delafield Avenue,85.384,,,,,,,,,,,5697455,
42747745,1819673097,0,True,tertiary_link,,29.543,,,,,,,,,,,5699178,
42747745,1570455595,0,False,tertiary,West 253rd Street,88.058,,,,,,,,,,,223505288,
42750505,42750507,0,False,residential,Cayuga Avenue,136.179,,,,,,,,,,,5697620,
42750507,42750505,0,False,residential,Cayuga Avenue,136.179,,,,,,,,,,,5697620,
42750507,42757980,0,False,residential,West 246th Street,113.219,,,,,,,,,,,143500582,
42750507,42738141,0,False,residential,West 246th Street,80.473,,,,,,,,,,,143500582,
42751379,42751426,0,False,tertiary,Manhattan College Parkway,220.679,,,,,,,,,,,5697670,
42751379,1579668049,0,False,residential,Waldo Avenue,16.552,,,,,,,,,,,5697774,
42751426,42751379,0,False,tertiary,Manhattan College Parkway,220.679,,,,,,,,,,,5697670,
42753670,42736738,0,False,residential,Waldo Avenue,94.488,,,,,,,,,,,5697774,
42753670,42737372,0,False,residential,Waldo Avenue,165.979,,,,,,,,,,,5697774,
42753670,42778250,0,False,residential,West 246th Street,278.595,,,,,,,,,,,143500582,
42753670,42757980,0,False,residential,West 246th Street,122.075,,,,,,,,,,,143500582,
42753677,42753681,0,False,residential,Waldo Avenue,115.545,,,,,,,,,,,5697774,
42753677,42736738,0,False,residential,Waldo Avenue,97.239,,,,,,,,,,,5697774,
42753677,42733059,0,False,residential,"['Indian Road', 'Livingston Avenue']",264.255,,,,,,,,,,,"[5696740, 5699270]",
42753681,42753684,0,False,residential,Waldo Avenue,109.064,,,,,,,,,,,5697774,
42753681,42753677,0,False,residential,Waldo Avenue,115.545,,,,,,,,,,,5697774,
42753681,42733063,0,False,residential,West 250th Street,103.328,,,,,,,,,,,5698757,
42753684,42753681,0,False,residential,Waldo Avenue,109.064,,,,,,,,,,,5697774,
42757042,42757044,0,False,residential,Goodridge Avenue,103.292,,,,,,,,,,,5697966,
42757042,1570448216,0,False,residential,Goodridge Avenue,166.07,,,,,,,,,,,5697966,
42757042,42770475,0,False,residential,West 250th Street,121.903,,,,,,,,,,,5698757,
42757042,1570206501,0,False,residential,West 250th Street,116.067,,,,,,,,,,,5698757,
42757044,42757042,0,False,residential,Goodridge Avenue,103.292,,,,,,,,,,,5697966,
42757980,1570230685,0,False,residential,Tibbett Avenue,444.38,,,,,,,,,,,5698021,
42757980,1579668049,0,False,residential,"['Tibbett Avenue', 'West 244th Street']",331.538,,,,,,,,,,,"[144429610, 5698021]",
42757980,42753670,0,False,residential,West 246th Street,122.075,,,,,,,,,,,143500582,
42757980,42750507,0,False,residential,West 246th Street,113.219,,,,,,,,,,,143500582,
42757990,1570230685,0,False,residential,College Road,47.118,,,,,,,,,,,5696697,
42757990,42732997,0,False,residential,Fieldston Terrace,222.79,,,,,,,,,,,5698471,
42757990,42738086,0,False,residential,West 252nd Street,77.32,,,,,,,,,,,5699199,
42759607,1579630668,0,True,tertiary,Henry Hudson Parkway East,144.566,,,,,,,,,,,144456321,
42759609,42747691,0,False,residential,West 246th Street,87.327,,,,,,,,,,,5699345,
42759609,42763417,0,False,residential,West 246th Street,43.022,,,,,,,yes,,,,"[143518612, 143518619, 223902540]",
42759609,1570460010,0,True,tertiary,Henry Hudson Parkway East,195.64,,,,,,,,,,,223902545,
42759613,42747697,0,False,residential,West 250th Street,61.479,,,,,,,,,,,5698755,
42759613,42759615,0,True,tertiary,Henry Hudson Parkway East,192.961,,,,,,,,,,,223902545,
42759615,42763455,0,False,residential,West 252nd Street,54.044,,,,,,,yes,,,,"[5699202, 143496308, 143496311]",
42759615,42759617,0,True,tertiary,Henry Hudson Parkway East,57.034,,,,,,,,,,,223902545,
42759617,42747741,0,False,residential,West 252nd Street,51.991,,,,,,,,,,,5699201,
42759617,1570001513,0,True,tertiary,Henry Hudson Parkway East,71.031,,,,,,,,,,,223902545,
42763417,2522482068,0,True,tertiary,Henry Hudson Parkway West,41.499,,,,,,,,,,,223508334,
42763417,42759609,0,False,residential,West 246th Street,43.022,,,,,,,yes,,,,"[143518619, 143518612, 223902540]",
42763455,42759615,0,False,residential,West 252nd Street,54.044,,,,,,,yes,,,,"[5699202, 143496308, 143496311]",
42770464,42770465,0,False,residential,West 250th Street,6.904,,,,,,,,,,,5698755,
42770464,42770475,0,False,residential,West 250th Street,71.234,,,,,,,,,,,5698757,
42770464,1570461872,0,False,residential,Iselin Avenue,83.242,,,,,,,,,,,5699485,
42770465,42770464,0,False,residential,West 250th Street,6.904,,,,,,,,,,,5698755,
42770465,42747697,0,False,residential,West 250th Street,156.765,,,,,,,,,,,5698755,
42770465,42747694,0,False,residential,Iselin Avenue,312.62,,,,,,,,,,,5699486,
42770475,42770464,0,False,residential,West 250th Street,71.234,,,,,,,,,,,5698757,
42770475,42757042,0,False,residential,West 250th Street,121.903,,,,,,,,,,,5698757,
42770475,42747691,0,False,residential,Grosvenor Avenue,475.895,,,,,,,,,,,5699180,
42770475,1570462847,0,False,residential,,205.715,,,,,,,,,,,143519827,
42778250,42778253,0,False,residential,Livingston Avenue,160.568,,,,,,,,,,,5699268,
42778250,42737379,0,False,residential,Livingston Avenue,213.461,,,,,,,,,,,5699268,
42778250,42733024,0,False,residential,West 246th Street,120.427,,,,,,,,,,,143500582,
